"selec","View","Channel","start","end","bottom.freq","top.freq","sound.files","Begin Path","File Offset (s)","Recording","Model species","Vocalization","selec.file","Song","source","species.vocalization"
13,"Spectrogram 1",1,15.6501,16.024752987,1.154132,2.012167,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",15.6501,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
14,"Spectrogram 1",1,16.2567,16.595671749,1.173764,2.263688,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",16.2567,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
15,"Spectrogram 1",1,16.8633,17.184431131,1.257605,2.054087,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",16.8633,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
16,"Spectrogram 1",1,17.4699,17.844552986,1.184504,2.054087,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",17.4699,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
17,"Spectrogram 1",1,18.0586,18.344049895,1.184504,2.179848,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",18.0586,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
18,"Spectrogram 1",1,18.6831,19.03338706,1.341445,1.970247,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",18.6831,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
19,"Spectrogram 1",1,19.2923,19.65078145,1.383365,1.970247,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",19.2923,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
20,"Spectrogram 1",1,19.9097,20.213639536,1.339195,2.221768,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",19.9097,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
21,"Spectrogram 1",1,20.5976,20.879837436,1.308051,2.221768,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",20.5976,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
22,"Spectrogram 1",1,21.1268,21.497236634,1.370339,2.137928,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",21.1268,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
