path,filename,X1,fold,target,category,pred
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062744.wav_3.wav,20200805-062744.wav_3.wav,164,mimetic,2,P.torquatus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062744.wav_4.wav,20200805-062744.wav_4.wav,165,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062852.wav_3.wav,20200805-062852.wav_3.wav,167,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062852.wav_8.wav,20200805-062852.wav_8.wav,171,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062852.wav_9.wav,20200805-062852.wav_9.wav,172,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062852.wav_10.wav,20200805-062852.wav_10.wav,173,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062852.wav_11.wav,20200805-062852.wav_11.wav,174,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062852.wav_12.wav,20200805-062852.wav_12.wav,175,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062852.wav_13.wav,20200805-062852.wav_13.wav,176,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-063224.wav_3.wav,20200805-063224.wav_3.wav,181,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-063224.wav_4.wav,20200805-063224.wav_4.wav,182,mimetic,7,R.sulfuratus,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-063316.wav_3.wav,20200805-063316.wav_3.wav,187,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-063435.wav_2.wav,20200805-063435.wav_2.wav,192,mimetic,2,P.torquatus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-063435.wav_3.wav,20200805-063435.wav_3.wav,193,mimetic,2,P.torquatus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-063519.wav_3.wav,20200805-063519.wav_3.wav,196,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-063519.wav_4.wav,20200805-063519.wav_4.wav,197,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-065428.wav_1.wav,20200805-065428.wav_1.wav,198,mimetic,6,P.tricarunculatus-Talamanca,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-065428.wav_2.wav,20200805-065428.wav_2.wav,199,mimetic,6,P.tricarunculatus-Talamanca,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-065428.wav_3.wav,20200805-065428.wav_3.wav,200,mimetic,6,P.tricarunculatus-Talamanca,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-065428.wav_4.wav,20200805-065428.wav_4.wav,201,mimetic,6,P.tricarunculatus-Talamanca,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070011.wav_1.wav,20200805-070011.wav_1.wav,203,mimetic,6,P.tricarunculatus-Talamanca,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_1.wav,20200805-070226.wav_1.wav,204,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_2.wav,20200805-070226.wav_2.wav,205,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_3.wav,20200805-070226.wav_3.wav,206,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_4.wav,20200805-070226.wav_4.wav,207,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_6.wav,20200805-070226.wav_6.wav,208,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_7.wav,20200805-070226.wav_7.wav,209,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_8.wav,20200805-070226.wav_8.wav,210,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_9.wav,20200805-070226.wav_9.wav,211,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_10.wav,20200805-070226.wav_10.wav,212,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_11.wav,20200805-070226.wav_11.wav,213,mimetic,7,R.sulfuratus,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_12.wav,20200805-070226.wav_12.wav,214,mimetic,7,R.sulfuratus,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_14.wav,20200805-070226.wav_14.wav,216,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Monteverde
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-070226.wav_15.wav,20200805-070226.wav_15.wav,217,mimetic,6,P.tricarunculatus-Talamanca,P.tricarunculatus-Nicaragua
